lat,lon
26.9844546,88.2764755
26.9848162,88.2755698
26.9849214,88.2746861
26.9851859,88.2733642
26.9850254,88.2720468
26.985561,88.2716958
26.9856528,88.2710597
26.9862949,88.2709436
26.9871896,88.2708961
26.9876358,88.2702086
26.9882723,88.269968
26.9892738,88.2698661
26.9896013,88.2694236
26.9890874,88.2688067
26.9881055,88.2679944
26.9875147,88.2677686
26.9881592,88.266247
26.9886731,88.2653163
26.9887639,88.2642702
26.989163,88.2633771
26.9899852,88.2625724
26.9902299,88.2615942
26.9902179,88.2605294
26.9907118,88.259968
26.9927322,88.2592553
26.9935058,88.2584177
26.9939694,88.2597856
26.9943757,88.2604642
26.9955492,88.2612018
26.9961108,88.2604105
26.9969712,88.2594074
26.9988333,88.2590744
26.999722,88.2586483
27.0002956,88.2602442
27.0009549,88.2604083
27.0014629,88.2611023
27.0022505,88.2606332
27.0030391,88.2604293
27.0034118,88.2598585
27.0045805,88.2605742
27.0060582,88.2599983
27.0072698,88.2598615
27.0079479,88.2597325
27.0087795,88.2589399
27.008597,88.2580714
27.0084623,88.2574099
27.008139,88.2562264
27.0082338,88.2553191
27.0085068,88.2547323
27.0082207,88.2539522
27.0083551,88.2527691
27.0098704,88.2519719
27.0105788,88.250717
27.0119409,88.2509423
27.0129953,88.2517021
27.0131719,88.2516174
27.0132348,88.2513298
27.0132385,88.2507996
27.0137188,88.2507975
27.0143027,88.2506412
27.0151346,88.2506956
27.0153652,88.2503448
27.014984,88.2493813
27.0155053,88.2490996
27.0152834,88.2482306
27.0163488,88.2475371
27.0165487,88.246763
27.0169223,88.246977
27.0166152,88.2476393
27.0162657,88.2474269
27.016585,88.2465109
27.0170466,88.2469945
27.0169149,88.2479508
27.0176756,88.2486858
27.0192572,88.2502999
27.0201596,88.250147
27.0204464,88.2506445
27.0204123,88.2517867
27.0194189,88.2529177
27.020072,88.2536755
27.0220456,88.2539813
27.0233749,88.2542172
27.024392,88.2532571
27.0255628,88.2546464
27.027472,88.2559743
27.0295959,88.257613
27.0308478,88.2569424
27.0325176,88.2576151
27.0334258,88.2585035
27.0329274,88.259597
27.034104,88.2602931
27.0348387,88.2605318
27.0360132,88.2612179
27.0367239,88.2616004
27.0373706,88.2628499
